# AZMP_BottomTemp.dat   2017-02-23 11:48
# Peter Galbraith <Peter.Galbraith@dfo-mpo.gc.ca>
# with Maritimes data from Dave Hebert and NL data from Eugene Colbourne
#
# Bottom temperatures
#
# col  1: Year
# col  2: 3Ps, spring
# col  3: 3LNO, spring
# col  4: 2J, fall
# col  5: 3K, fall
# col  6: 3LNO, fall
# col  7: Mecatina Trough, >100 m, August
# col  8: nGSL, >100 m, August
# col  9: nGSL, <100 m, August
# col 10: Magdalen Shallows, September
# col 11: 4V, July
# col 12: 4W, July
# col 13: 4X, July
#
# Missing value parameter: -99
#
#Yr   3Ps 3LNO   2J   3K 3LNO  Meca  nG>  nG< MagS   4V   4W   4X
1964  -99  -99  -99  -99  -99   -99  -99  -99 4.71  -99  -99  -99
1965  -99  -99  -99  -99  -99   -99  -99  -99 4.56  -99  -99  -99
1966  -99  -99  -99  -99  -99   -99  -99  -99 4.82  -99  -99  -99
1967  -99  -99  -99  -99  -99  0.46  -99  -99 3.89  -99  -99  -99
1968  -99  -99  -99  -99  -99   -99  -99  -99 5.22  -99  -99  -99
1969  -99  -99  -99  -99  -99   -99  -99 3.23 5.14  -99  -99  -99
1970  -99  -99  -99  -99  -99   -99  -99 3.74 4.37  -99  -99  -99
1971  -99  -99  -99  -99  -99   -99  -99  -99 4.63  -99  -99  -99
1972  -99  -99  -99  -99  -99   -99  -99 2.46 5.01  -99  -99  -99
1973  -99  -99  -99  -99  -99 -1.17  -99  -99 5.38  -99  -99  -99
1974  -99  -99  -99  -99  -99 -1.18 3.76 2.76 4.75  -99  -99  -99
1975  -99  -99  -99  -99  -99   -99  -99  -99 5.77  -99  -99  -99
1976  -99  -99  -99  -99  -99   -99  -99  -99 5.04  -99  -99  -99
1977  -99  -99  -99  -99  -99   -99  -99 3.50 4.87  -99  -99  -99
1978  -99  -99  -99  -99  -99 -0.11  -99 2.77 4.31  -99  -99  -99
1979  -99  -99  -99  -99  -99   -99  -99  -99 4.86  -99  -99  -99
1980 1.86 1.94 2.07 2.11  -99   -99  -99  -99 5.90 4.38 7.03 7.64
1981 3.52 2.63 2.53 2.19  -99   -99  -99  -99 5.57 4.37 6.94 6.90
1982 1.99 1.51 1.76 0.91  -99   -99  -99  -99 5.49 2.82 5.71 7.47
1983 2.58 3.15 1.70 1.87  -99   -99  -99  -99 4.45 3.42 6.31 7.39
1984 3.56 1.71 1.81 1.99  -99   -99  -99  -99 4.13 5.18 7.65 7.91
1985 2.35 1.48 1.92 1.30  -99   -99  -99  -99 5.53 3.41 7.59 8.47
1986 2.83 0.75 2.14 2.33  -99   -99  -99  -99 5.41 3.84 7.32 7.78
1987 2.22 1.14 1.63 1.80  -99   -99  -99 2.96 4.98 2.76 5.86 6.31
1988 2.53 1.35 2.13 1.99  -99   -99  -99 3.32 4.80 4.14 5.82 7.12
1989 2.26 0.94 1.82 2.04  -99   -99  -99  -99 5.07 2.87 6.09 7.25
1990 1.79 0.27 1.99 1.62 1.55   -99  -99 2.98 4.72 2.61 6.02 7.14
1991 2.18 0.39 2.12 1.76 1.67   -99 3.53 2.95 5.34 2.58 5.76 6.66
1992 2.18 0.68 1.74 1.24 1.20   -99 3.63 2.84 3.88 3.26 6.21 7.44
1993 2.41 0.99 1.92 1.33 1.03   -99 3.87 2.90 4.83 3.35 6.69 7.06
1994 2.50 0.99 1.97 1.55 1.07 -0.25 4.29 2.08 4.64 2.96 6.63 8.14
1995 2.18 1.00 1.99 2.11 1.74 -1.24 3.84 2.90 4.67 3.22 6.59 6.78
1996 2.74 1.35 2.62 2.15 1.75 -0.35 3.84 2.64 5.17 2.91 6.16 7.00
1997 2.40 1.13 2.39 2.44 1.82 -1.10 4.21 3.01 4.49 3.44 6.23 7.42
1998 2.57 1.71 2.50 2.27 1.91 -0.58  -99 2.68 4.72 3.42 4.94 5.51
1999 3.04 1.99 2.80 2.79 2.64 -0.30 4.39 4.18 5.54 3.97 6.70 7.91
2000 3.16 1.98 2.57 2.20 1.73  0.49 4.43 3.99 5.40 4.19 7.35 8.27
2001 2.33 1.57 2.74 2.30 1.82 -0.75 4.30 2.97 5.17 3.44 5.75 6.38
2002 2.64 1.53 2.63 2.41 1.75 -0.57 4.47 3.00 5.74 3.80 6.65 8.12
2003 1.93 1.15 2.93 2.52 1.78 -1.06 4.23 2.83 5.24 2.73 5.71 7.45
2004 2.60 2.29 3.03 2.77 2.11 -0.34 4.32 3.11 5.19 2.77 4.67 6.05
2005 2.99 1.86 3.01 2.73 2.50 -0.06 4.36 3.16 5.11 3.87 6.29 7.28
2006  -99  -99 2.67 2.30 1.78 -0.59 4.55 3.64 5.53 4.20 7.36 8.15
2007 2.15 1.81 2.97 3.09 1.80 -0.25 4.34 2.89 5.63 3.24 5.60 6.25
2008 2.21 1.83 2.60 2.48 1.70 -0.74 4.11 3.94 5.02 3.48 5.36 6.88
2009 2.65 1.81 2.66 2.56 1.77 -0.38 4.12 3.55 5.83 3.75 6.60 7.24
2010 3.00 2.02 3.16 2.94 2.22  0.58 4.24 3.76 5.66 3.83 6.86 7.57
2011 3.33 2.71 3.26 3.54 2.47  0.31 4.42 3.94 5.45 4.22 6.52 7.70
2012 3.32 2.34 2.86 2.78 1.84  0.03 4.70 4.62 5.57 4.51 8.07 9.36
2013 2.95 2.02 2.70 2.42 1.82 -0.04 4.75 3.62 5.29 4.09 6.91 8.29
2014 2.98 1.42 2.67 2.31  -99 -0.22 4.80 3.90 5.22 4.56 8.31 8.91
2015 2.88 1.45 2.46 2.55 1.61  0.45 5.06 3.73 5.58 5.15 7.92 8.15
2016 3.41 1.53 2.80 2.42 1.78 -0.11 5.11 3.57 5.56 4.78 8.09 9.10
