1948 11.22 
1949 10.60 
1950 11.38 
1951 13.21 
1952 13.11 
1953 12.05 
1954 12.31 
1955 12.09 
1956 11.57 
1957 10.99 
1958 11.00 
1959 10.84 
1960 11.94 
1961 10.84 
1962 9.92 
1963 9.71 
1964 9.23 
1965 9.56 
1966 10.98 
1967 11.98 
1968 11.22 
1969 12.61 
1970 12.07 
1971 11.80 
1972 13.68 
1973 14.55 
1974 14.83 
1975 12.42 
1976 14.47 
1977 12.10 
1978 12.09 
1979 13.24 
1980 12.27 
1981 13.18 
1982 11.87 
1983 12.95 
1984 12.95 
1985 12.72 
1986 13.75 
1987 11.90 
1988 11.35 
1989 10.51 
1990 11.78 
1991 11.89 
1992 11.46 
1993 12.68 
1994 11.95 
1995 11.73 
1996 13.21 
1997 13.04 
1998 12.99 
1999 10.93 
2000 11.49 
2001 10.45 
2002 11.06 
2003 10.85 
2004 11.41 
2005 11.94 
2006 12.49 
2007 10.93 
2008 12.51 
2009 12.17 
2010 11.69 
2011 13.22 
2012 11.29 
2013 12.09 
2014 12.56 
2015 11.13 
2016 12.42 
